timestamp,trace_id,impu,node,event_type,result,detail
2026-07-06T00:01:19.888,d37f66b535,sip:+999700000000831@ims.mnc070.mcc999.3gpp.network.org,pcscf,REGISTER,OK,
2026-07-06T00:01:19.935,d37f66b535,sip:+999700000000831@ims.mnc070.mcc999.3gpp.network.org,scscf,REGISTER,OK,200 OK
2026-07-06T00:01:43.513,6672d9e2b2,sip:+999700000003123@ims.mnc070.mcc999.3gpp.network.org,pcscf,REGISTER,OK,
2026-07-06T00:01:43.559,6672d9e2b2,sip:+999700000003123@ims.mnc070.mcc999.3gpp.network.org,scscf,REGISTER,OK,200 OK
2026-07-06T00:03:04.111,e646837d14,sip:+999700000004212@ims.mnc070.mcc999.3gpp.network.org,pcscf,REGISTER,OK,
2026-07-06T00:03:04.131,e646837d14,sip:+999700000004212@ims.mnc070.mcc999.3gpp.network.org,scscf,REGISTER,OK,200 OK
2026-07-06T00:03:37.213,e4474acec7,sip:+999700000002160@ims.mnc070.mcc999.3gpp.network.org,pcscf,REGISTER,OK,
2026-07-06T00:03:37.259,e4474acec7,sip:+999700000002160@ims.mnc070.mcc999.3gpp.network.org,scscf,REGISTER,OK,200 OK
2026-07-06T00:04:05.786,acef0adf7b,sip:+999700000003294@ims.mnc070.mcc999.3gpp.network.org,pcscf,REGISTER,OK,
2026-07-06T00:04:05.823,acef0adf7b,sip:+999700000003294@ims.mnc070.mcc999.3gpp.network.org,scscf,REGISTER,OK,200 OK
2026-07-06T00:05:42.112,f3f115e8fe,sip:+999700000002806@ims.mnc070.mcc999.3gpp.network.org,pcscf,REGISTER,OK,
2026-07-06T00:05:42.149,f3f115e8fe,sip:+999700000002806@ims.mnc070.mcc999.3gpp.network.org,scscf,REGISTER,OK,200 OK
2026-07-06T00:07:21.782,8dbfaf0a1b,sip:+999700000004229@ims.mnc070.mcc999.3gpp.network.org,pcscf,INVITE,OK,sip:+999700000001190@ims.mnc070.mcc999.3gpp.network.org
2026-07-06T00:07:21.843,8dbfaf0a1b,sip:+999700000004229@ims.mnc070.mcc999.3gpp.network.org,scscf,CALL_ANSWERED,OK,
2026-07-06T00:07:53.382,795ab2f092,sip:+999700000000620@ims.mnc070.mcc999.3gpp.network.org,pcscf,INVITE,OK,sip:+999700000001144@ims.mnc070.mcc999.3gpp.network.org
2026-07-06T00:07:53.415,795ab2f092,sip:+999700000000620@ims.mnc070.mcc999.3gpp.network.org,scscf,CALL_ANSWERED,OK,
2026-07-06T00:09:52.320,795ab2f092,sip:+999700000000620@ims.mnc070.mcc999.3gpp.network.org,rtpengine,CALL_END,COMPLETED,dur=118s mos=4.5
